ID,Review,Link,Sentiment
14,"Well built, working properly all buttons and vibration, cable in nylon (slightly smaller than the ad (2,10m) in the ad says 2,30m, despite this I will give 5 stars). I hope it's durable.I made a full video on my channel Watch there name juninhosjComfortable to the touch and good size need to try it in a gameGoods of Shvidko, two days to Kiev. That no-huddle. Children at the capture.The control is nice I bought two units one white and one black, there was still vibration for me to give a note 9Very well finished controller, but only one problem which is a little annoying for me is that the sensation of R2 and L2 are not the same but otherwise for the moment so good!Good control, only L and R triggers don't have a lot of depth and as for fight games sometimes it's a problem for me but otherwise it's fine.Very good productPretty good, arrived well and looks good, hoping it doesnï¿½t wear out soon and lasts longhermoso controlI 've been trying it for 1 week and it goes very well. Fornite and call of dutyThe Uglies it changes especially when you activate it at the same time as the super sayen, sorry too geek on the parking lot but the joystick is frankly top I hesitate to take a second.feels very good in the hand and great quality of button and joystick feels better than xbox one would recommendComfortable to use but the joysticks did not like their shape but putting on some covers it improvesI bought it again because I like it. I bought it again because I like it. I like it. I bought it. I liked it. I repurchased it because I liked it. I liked it. I repurchased it because I liked it. I bought it again because I like it. I bought it again because I like it.Has good quality and works well, the PC recognized it.Very goodaaasssdffshhshshshsbsbsgahshwhwbahshshshshsbshshsbshshshshysbwvgsysvsgshshwbhshshshshshshshshshshwbwbNo words, very good productExcellent control 0 drift works wonderfully",https://www.aliexpress.com/item/1005006581356632.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-15&pdp_npi=4%40dis%21PKR%2110694.30%213850.00%21%21%21277.58%2199.93%21%4021411ecc17317818742363674e29cf%2112000037725759138%21sea%21PK%210%21ABX&curPageLogUid=wFPPsvcOhqsR&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_4,Positive
15,,https://www.aliexpress.com/item/1005008087942968.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-16&pdp_npi=4%40dis%21PKR%213814.16%213814.16%21%21%2199.00%2199.00%21%4021411ecc17317818742363674e29cf%2112000043657149350%21sea%21PK%210%21ABX&curPageLogUid=p7jkob8cpDbW&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
16,,https://www.aliexpress.com/item/1005007968279396.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-17&pdp_npi=4%40dis%21PKR%2155551.46%2124999.41%21%21%21199.99%2190.00%21%4021411ecc17317818742363674e29cf%2112000043066920777%21sea%21PK%210%21ABX&curPageLogUid=ZXqxN73IoU9E&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
17,,https://www.aliexpress.com/item/1005008085612616.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-18&pdp_npi=4%40dis%21PKR%2113133.82%2113133.82%21%21%21340.90%21340.90%21%4021411ecc17317818742363674e29cf%2112000043633194426%21sea%21PK%210%21ABX&curPageLogUid=UYWOjJ2oSNyV&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
18,,https://www.aliexpress.com/item/1005007968279396.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-17&pdp_npi=4%40dis%21PKR%2155551.46%2124999.41%21%21%21199.99%2190.00%21%4021411ecc17317818742363674e29cf%2112000043066920777%21sea%21PK%210%21ABX&curPageLogUid=ZXqxN73IoU9E&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
19,,https://www.aliexpress.com/item/1005008085612616.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-18&pdp_npi=4%40dis%21PKR%2113133.82%2113133.82%21%21%21340.90%21340.90%21%4021411ecc17317818742363674e29cf%2112000043633194426%21sea%21PK%210%21ABX&curPageLogUid=UYWOjJ2oSNyV&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
20,,https://www.aliexpress.com/item/1005006282848536.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-19&pdp_npi=4%40dis%21PKR%21977.75%21869.42%21%21%213.52%213.13%21%4021411ecc17317818742363674e29cf%2112000036614999988%21sea%21PK%210%21ABX&curPageLogUid=4FzKL5yKZzPo&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_5,NR
21,,https://www.aliexpress.com/item/1005005195728246.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-20&pdp_npi=4%40dis%21PKR%21101147.60%2180917.52%21%21%21364.14%21291.31%21%4021411ecc17317818742363674e29cf%2112000032090133033%21sea%21PK%210%21ABX&curPageLogUid=5mJ5uQcV6MU9&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
22,,https://www.aliexpress.com/item/1005008055107503.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-21&pdp_npi=4%40dis%21PKR%2126501.88%2110600.67%21%21%21687.88%21275.15%21%4021411ecc17317818742363674e29cf%2112000043464613248%21sea%21PK%210%21ABX&curPageLogUid=PULhXuQSneni&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
23,,https://www.aliexpress.com/item/4001178443938.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-23&pdp_npi=4%40dis%21PKR%21277.77%21249.99%21%21%211.00%210.90%21%4021411ecc17317818742363674e29cf%2110000015055468941%21sea%21PK%210%21ABX&curPageLogUid=E0xQP7raSAkF&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_6,NR
24,,https://www.aliexpress.com/item/1005008095023768.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-24&pdp_npi=4%40dis%21PKR%2112997.05%2112997.05%21%21%21337.35%21337.35%21%4021411ecc17317818742363674e29cf%2112000043701526471%21sea%21PK%210%21ABX&curPageLogUid=wFjJz4ODTW4h&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
25,,https://www.aliexpress.com/item/1005004862200541.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-25&pdp_npi=4%40dis%21PKR%2127774.34%2123607.77%21%21%2199.99%2184.99%21%4021411ecc17317818742363674e29cf%2112000030790320229%21sea%21PK%210%21ABX&curPageLogUid=4DFIHST7mWMx&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
26,,https://www.aliexpress.com/item/1005008061833731.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-26&pdp_npi=4%40dis%21PKR%2128944.10%2111577.71%21%21%21751.27%21300.51%21%4021411ecc17317818742363674e29cf%2112000043499236465%21sea%21PK%210%21ABX&curPageLogUid=3yvrvv3XvBht&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
27,"Everything is fine, I hope it works well to continue bringing this product to my customersVery well packed and protected, the delivery was fast arrived in the expected timeCame well impaled, responded very quickly to the area he vibrates that this is good (because you don't even need to look at the control light) and you buy to play with 2 controls already stop here because I tried and I couldn't. But as only I will play then... I don't care about kkkk. I recommend it.I ordered two of them. I managed to test the brown one with the Nintendo Switch. It is ok, you just need to enable Pro Controller Wired Communication on the SwitchThings to be aware if you don't fully understand the product: 1- Each adapter supports just one controller at a time, so if u want to play local (offline) multiplayer games or emulators you gonna need multiple adapters 2- The adapter can emulate different types of inputs (Xinput, Dinput, switch pro controller), on 8bitdo support page you can find the button combos to change between input modes 3- the adapter support profiles so u can remap buttons, set deadzones for sticks and triggers, BUT, as far as i've seen you can only have one profile (you can turn on/off the profile on the fly with a button combo) so keep in mind at the moment of configure cuz it will work the same way onevery platform an input mode that u use 3.A- be aware that the profile doesn't apply by default when you connect the adapter, each time that the adapter (not the controller) losses power when start again it will with factory settings so you need to do the combo to activate the profile.I arrive after an approximate month, but I think it is because of the courier in my country. I like the packaging and the adapter type C cable of good quality .. It has to be proven but I doubt it is wrong .. Thank you!!Just what I expected, very easy to match with the control, and it has a very nice design. I asked for it on June 16 and it came to me on June 22, very quicklyIt arrived in a considerable time and in good condition it looks good quality, it would be necessary to try it and it is the same as described on the pageWonderful, just what I needed to play with my Xbox controller on the switch, it came fast and works perfectly, I recommend itArrived on time and in good condition. Works perfectly and as expected.It is perfect already I tested it and it serves the 100, look first you have to configure it in the ps and then in the Nintendo enable the option to be able to use other controls.Excellent Product, arrive very fast after 15 days recommended for Nintendo SwitchGood product, as the description is .. Although it took me 4 weeksI did not try it with all the controls but with the xbox one it is goodEverything was fine, now it is necessary to prove it.I love it, honestly I love all 8Bitdo products. Itï¿½s high quality and you will not worry about not having the right controller anymoreIt came fast and worked, what else to say.",https://www.aliexpress.com/item/1005006016948890.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-27&pdp_npi=4%40dis%21PKR%215028.53%213972.51%21%21%21130.52%21103.11%21%4021411ecc17317818742363674e29cf%2112000037177775122%21sea%21PK%210%21ABX&curPageLogUid=vBInSmrbElOx&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_7,Positive
28,,https://www.aliexpress.com/item/1005007960542369.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-28&pdp_npi=4%40dis%21PKR%2130626.57%2111025.62%21%21%21794.94%21286.18%21%4021411ecc17317818742363674e29cf%2112000043040624192%21sea%21PK%210%21ABX&curPageLogUid=kU0zpNrGQMcA&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
29,,https://www.aliexpress.com/item/1005008077555119.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-29&pdp_npi=4%40dis%21PKR%2125032.08%2112515.85%21%21%21649.73%21324.86%21%4021411ecc17317818742363674e29cf%2112000043565183526%21sea%21PK%210%21ABX&curPageLogUid=bJ0TFWiahun0&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
30,,https://www.aliexpress.com/item/1005008084062464.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-30&pdp_npi=4%40dis%21PKR%214729.18%214729.18%21%21%21122.75%21122.75%21%4021411ecc17317818742363674e29cf%2112000043613321345%21sea%21PK%210%21ABX&curPageLogUid=rXivl8inSHMc&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
31,,https://www.aliexpress.com/item/1005007823001000.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-31&pdp_npi=4%40dis%21PKR%216306.08%215504.72%21%21%21163.68%21142.88%21%4021411ecc17317818742363674e29cf%2112000042334216298%21sea%21PK%210%21ABX&curPageLogUid=l1a1JkGS2WvY&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_8,NR
32,,https://www.aliexpress.com/item/1005008069773993.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-32&pdp_npi=4%40dis%21PKR%217281.58%217281.58%21%21%21189.00%21189.00%21%4021411ecc17317818742363674e29cf%2112000043527813545%21sea%21PK%210%21ABX&curPageLogUid=uG4jKA2b6rNg&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
33,,https://www.aliexpress.com/item/1005008024993494.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-33&pdp_npi=4%40dis%21PKR%2125537.56%2112513.54%21%21%21662.85%21324.80%21%4021411ecc17317818742363674e29cf%2112000043299776641%21sea%21PK%210%21ABX&curPageLogUid=Gg1tkZjiH8fd&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
34,,https://www.aliexpress.com/item/1005008056435831.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-34&pdp_npi=4%40dis%21PKR%2124893.77%2112446.88%21%21%21646.14%21323.07%21%4021411ecc17317818742363674e29cf%2112000043475935507%21sea%21PK%210%21ABX&curPageLogUid=mkK8UMt3mu0L&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
35,,https://www.aliexpress.com/item/1005005147505242.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-35&pdp_npi=4%40dis%21PKR%211041.64%21666.65%21%21%213.75%212.40%21%4021411ecc17317818742363674e29cf%2112000031855774411%21sea%21PK%210%21ABX&curPageLogUid=zDAC75scDLL2&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_9,NR
36,,https://www.aliexpress.com/item/1005007702970694.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-36&pdp_npi=4%40dis%21PKR%2111069.16%2111069.16%21%21%21287.31%21287.31%21%4021411ecc17317818742363674e29cf%2112000041914225113%21sea%21PK%210%21ABX&curPageLogUid=MMCRCXPgYLnf&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
37,,https://www.aliexpress.com/item/1005008090809739.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-37&pdp_npi=4%40dis%21PKR%2113116.10%2113116.10%21%21%21340.44%21340.44%21%4021411ecc17317818742363674e29cf%2112000043666683035%21sea%21PK%210%21ABX&curPageLogUid=z4MxsNHqphWS&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
38,,https://www.aliexpress.com/item/1005007920690803.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-38&pdp_npi=4%40dis%21PKR%2110013.14%2110013.14%21%21%21259.90%21259.90%21%4021411ecc17317818742363674e29cf%2112000042862293499%21sea%21PK%210%21ABX&curPageLogUid=W6Pyi5J43xUe&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
39,,https://www.aliexpress.com/item/1005007089121569.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-39&pdp_npi=4%40dis%21PKR%2163800.55%2126796.23%21%21%211656.00%21695.52%21%4021411ecc17317818742363674e29cf%2112000039369087079%21sea%21PK%210%21ABX&curPageLogUid=eIDUNRwipNDc&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_10,NR
40,,https://www.aliexpress.com/item/1005008100850744.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-40&pdp_npi=4%40dis%21PKR%2128716.41%2111486.41%21%21%21745.36%21298.14%21%4021411ecc17317818742363674e29cf%2112000043749904622%21sea%21PK%210%21ABX&curPageLogUid=Q4LRrQ46q2e4&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
41,,https://www.aliexpress.com/item/1005008100778904.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-41&pdp_npi=4%40dis%21PKR%2130925.93%2112370.22%21%21%21802.71%21321.08%21%4021411ecc17317818742363674e29cf%2112000043749883605%21sea%21PK%210%21ABX&curPageLogUid=Usjs7Sp2E6PC&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
42,,https://www.aliexpress.com/item/1005008097463448.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-42&pdp_npi=4%40dis%21PKR%2124361.33%2112180.67%21%21%21632.32%21316.16%21%4021411ecc17317818742363674e29cf%2112000043719635362%21sea%21PK%210%21ABX&curPageLogUid=bmbaXwzKjilU&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
43,,https://www.aliexpress.com/item/1005007798325418.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-43&pdp_npi=4%40dis%21PKR%21115827.81%2159070.82%21%21%21416.99%21212.66%21%4021411ecc17317818742363674e29cf%2112000042261719645%21sea%21PK%210%21ABX&curPageLogUid=wOVGcpyRQLIW&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_11,NR
44,,https://www.aliexpress.com/item/1005008099252091.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-44&pdp_npi=4%40dis%21PKR%2124695.36%2112347.49%21%21%21640.99%21320.49%21%4021411ecc17317818742363674e29cf%2112000043735106272%21sea%21PK%210%21ABX&curPageLogUid=jGQcUNyoCmpC&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
45,,https://www.aliexpress.com/item/1005008100535643.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-45&pdp_npi=4%40dis%21PKR%2123902.09%2111951.05%21%21%21620.40%21310.20%21%4021411ecc17317818742363674e29cf%2112000043746349433%21sea%21PK%210%21ABX&curPageLogUid=u892dPEcZ03S&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
46,,https://www.aliexpress.com/item/1005008100256748.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-46&pdp_npi=4%40dis%21PKR%2123902.09%2111951.05%21%21%21620.40%21310.20%21%4021411ecc17317818742363674e29cf%2112000043744329654%21sea%21PK%210%21ABX&curPageLogUid=P8PXJfhkEfwH&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
47,,https://www.aliexpress.com/item/1005007813395164.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-47&pdp_npi=4%40dis%21PKR%219246.07%214530.76%21%21%21239.99%21117.60%21%4021411ecc17317818742363674e29cf%2112000042322668846%21sea%21PK%210%21ABX&curPageLogUid=qCusXlwtIDAm&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_12,NR
48,,https://www.aliexpress.com/item/1005008100495142.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-48&pdp_npi=4%40dis%21PKR%2123902.09%2111951.05%21%21%21620.40%21310.20%21%4021411ecc17317818742363674e29cf%2112000043744296741%21sea%21PK%210%21ABX&curPageLogUid=0lfFCJTStcQT&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
49,,https://www.aliexpress.com/item/1005008100444243.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-49&pdp_npi=4%40dis%21PKR%2123902.09%2111951.05%21%21%21620.40%21310.20%21%4021411ecc17317818742363674e29cf%2112000043744327892%21sea%21PK%210%21ABX&curPageLogUid=l2E2d0U6nnlZ&utparam-url=scene%3Asearch%7Cquery_from%3A,NR
